Shooter ID,Shooter position,Defender ID,Defend Success,Shooter Cluster
200745,C,201158,1,4
200745,C,201585,1,4
201572,C,201585,1,4
200745,C,1626161,1,4
200745,C,1626161,1,4
201572,C,201585,1,4
202326,C,201572,1,4
201572,C,202326,1,4
202326,C,201572,1,4
201572,C,203463,1,4
201572,C,201158,1,4
202326,C,201572,1,4
202326,C,201152,1,4
202326,C,201152,1,4
201572,C,201585,1,4
201572,C,202326,1,4
201585,C,201572,1,1
201585,C,200745,1,1
201585,C,200745,1,1
201572,C,203112,1,4
200745,C,202326,1,4
200745,C,201585,1,4
202326,C,201572,1,4
202326,C,202711,1,4
201599,C,203083,0,2
201599,C,203083,0,2
201599,C,203083,0,2
203083,C,201599,0,2
201599,C,203083,0,2
203083,C,201599,0,2
203382,C,201933,0,1
203382,C,201599,0,1
201599,C,203382,0,2
203083,C,201599,0,2
203083,C,201599,0,2
203083,C,201599,0,2
203083,C,201599,0,2
203382,C,201599,0,1
203083,C,201599,1,2
203083,C,201599,1,2
203083,C,201599,1,2
203083,C,201599,1,2
203083,C,201933,1,2
201599,C,203083,1,2
203382,C,2746,1,1
203382,C,2746,1,1
201599,C,203083,1,2
203083,C,201933,1,2
203083,C,201599,1,2
202696,C,101162,0,1
202696,C,101162,0,1
202696,C,201162,0,1
202696,C,101162,0,1
202696,C,2403,0,1
202696,C,2743,0,1
101162,C,202696,0,1
202696,C,2403,0,1
202696,C,101162,0,1
101162,C,202696,0,1
101162,C,202696,1,1
101162,C,202696,1,1
202696,C,101162,1,1
101162,C,202696,1,1
202696,C,2403,1,1
101162,C,202696,1,1
202696,C,202066,1,1
202696,C,202066,1,1
202696,C,202066,1,1
202696,C,2743,1,1
202696,C,202322,1,1
202696,C,2403,1,1
203991,C,2585,0,2
2585,C,203093,0,0
2585,C,203991,0,0
2585,C,203093,0,0
2585,C,1891,0,0
203991,C,2585,0,2
2585,C,203991,1,0
203991,C,202379,1,2
2585,C,201935,1,0
202328,C,202389,0,4
202389,C,203507,0,1
203089,C,201567,0,1
202328,C,202684,0,4
202328,C,202684,0,4
202328,C,202684,0,4
202328,C,202389,0,4
202328,C,2544,0,4
203089,C,203521,0,1
203089,C,201567,0,1
202328,C,201567,0,4
202328,C,2544,0,4
202328,C,202389,1,4
202389,C,202328,1,1
202328,C,202389,1,4
202328,C,201567,1,4
202328,C,201567,1,4
202328,C,202684,1,4
203089,C,201567,1,1
202684,C,202328,1,2
202328,C,202684,1,4
202328,C,202389,1,4
202389,C,202328,1,1
202389,C,202328,1,1
202389,C,202328,1,1
203089,C,202684,1,1
202328,C,2544,1,4
203457,C,200746,0,0
1495,C,1626143,0,1
1626143,C,1495,0,4
1495,C,203457,0,1
1495,C,203457,0,1
1626143,C,1495,0,4
1626143,C,200746,0,4
1495,C,1626143,0,1
1495,C,1626143,0,1
1626143,C,200746,0,4
1495,C,1626143,0,1
1626143,C,1495,0,4
1626143,C,2564,0,4
1626143,C,2564,0,4
1626143,C,200746,0,4
203457,C,1495,0,0
1626143,C,1495,0,4
1495,C,204456,0,1
203457,C,200746,1,0
203457,C,200746,1,0
203457,C,200746,1,0
1495,C,1626143,1,1
1495,C,1626143,1,1
203457,C,200746,1,0
1626143,C,2564,1,4
1626143,C,2564,1,4
1495,C,1626143,1,1
1626143,C,1495,1,4
1626143,C,1495,1,4
1495,C,1626143,1,1
1495,C,1626143,1,1
1626143,C,1495,1,4
1626143,C,1495,1,4
1626143,C,2561,1,4
203457,C,201988,1,0
203457,C,1495,1,0
1626143,C,1495,1,4
2199,C,203914,0,0
2199,C,202702,0,0
2199,C,202702,0,0
203999,C,203458,0,1
2199,C,201581,1,0
203458,C,203999,1,0
203458,C,203999,1,0
203999,C,203458,1,1
203458,C,200751,1,0
201572,C,203105,0,4
201572,C,203105,0,4
201572,C,201575,0,4
101106,C,200745,0,2
200745,C,2738,0,4
200745,C,101106,0,4
101106,C,202711,0,2
201572,C,203105,0,4
203105,C,201572,0,2
201572,C,203105,0,4
201572,C,101106,0,4
201572,C,101106,0,4
101106,C,201572,0,2
101106,C,202711,0,2
201572,C,101106,0,4
101106,C,1626178,0,2
201572,C,203105,1,4
201572,C,203105,1,4
201572,C,101106,1,4
201572,C,101106,1,4
201572,C,203105,1,4
201572,C,203105,1,4
203105,C,201572,1,2
201572,C,203105,1,4
203105,C,201572,1,2
203105,C,201152,1,2
201572,C,101106,1,4
200745,C,101106,1,4
201572,C,101106,1,4
101106,C,202711,1,2
101106,C,201572,1,2
201572,C,101106,1,4
201572,C,101106,1,4
201572,C,101106,1,4
201572,C,2738,1,4
203076,C,204001,0,4
203076,C,204001,0,4
203076,C,204001,0,4
203076,C,204001,0,4
203076,C,204001,0,4
203076,C,204001,0,4
203076,C,201577,0,4
203076,C,202338,0,4
203076,C,202338,0,4
203076,C,202338,0,4
201577,C,201600,1,1
203076,C,204001,1,4
203076,C,204001,1,4
203076,C,204001,1,4
203076,C,204001,1,4
203076,C,204001,1,4
203076,C,204001,1,4
201577,C,201600,1,1
201577,C,201600,1,1
203076,C,204001,1,4
203076,C,203124,1,4
201582,C,202338,1,1
203076,C,202338,1,4
203076,C,204001,1,4
201188,C,1626157,0,4
203476,C,201188,0,0
203476,C,2216,0,0
1626157,C,2216,0,1
201188,C,1626157,0,4
1626157,C,201188,0,1
201188,C,1626157,0,4
201188,C,1626157,0,4
1626157,C,201188,0,1
1626157,C,201188,0,1
201188,C,1626157,0,4
201188,C,203476,0,4
201188,C,1626157,0,4
1626157,C,2754,0,1
1626157,C,201188,1,1
1626157,C,201188,1,1
203476,C,201188,1,0
201188,C,1626157,1,4
1626157,C,201188,1,1
201188,C,1626157,1,4
1626157,C,201188,1,1
1626157,C,201145,1,1
201188,C,1626157,1,4
1626157,C,201188,1,1
2744,C,203486,0,4
203486,C,2744,0,0
2744,C,203943,0,4
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
203486,C,2744,0,0
2744,C,203486,0,4
2744,C,203486,0,4
2744,C,203486,0,4
203486,C,101107,1,0
201150,C,202334,1,3
203469,C,203090,1,1
203486,C,202689,1,0
2744,C,203486,1,4
203486,C,2744,1,0
203486,C,2744,1,0
2744,C,203943,1,4
201150,C,203090,1,3
2744,C,202334,1,4
2744,C,202334,1,4
203497,C,201143,0,2
203497,C,201143,0,2
201143,C,202324,0,1
203497,C,201168,0,2
201168,C,203497,0,1
201143,C,203497,0,1
201143,C,202344,0,1
201143,C,203497,0,1
201143,C,202324,0,1
201143,C,203497,0,1
201143,C,203497,1,1
201143,C,203497,1,1
203497,C,201143,1,2
201143,C,203497,1,1
201143,C,203497,1,1
201168,C,202344,1,1
201168,C,203497,1,1
201143,C,203497,1,1
201143,C,203504,1,1
201168,C,203497,1,1
201143,C,202344,1,1
201143,C,202324,1,1
203482,C,202683,0,3
202683,C,203482,0,2
203482,C,2555,0,3
202683,C,101135,0,2
202683,C,101161,0,2
203482,C,2555,0,3
202683,C,101135,0,2
203482,C,201586,1,3
203482,C,201586,1,3
202683,C,101161,1,2
202683,C,101135,1,2
202683,C,202340,1,2
202326,C,202685,0,4
202326,C,2449,0,4
202326,C,202685,0,4
202326,C,202685,0,4
202326,C,202687,0,4
202326,C,202685,0,4
202685,C,202326,0,2
202326,C,202685,0,4
202326,C,202685,0,4
202685,C,203112,0,2
202326,C,202687,0,4
201585,C,202687,0,1
202326,C,202687,0,4
202326,C,202687,0,4
202326,C,202685,0,4
202685,C,1626161,1,2
202326,C,2449,1,4
202685,C,200752,1,2
202685,C,202326,1,2
202685,C,202326,1,2
202326,C,2449,1,4
202326,C,202685,1,4
202685,C,1626161,1,2
202326,C,201960,1,4
201585,C,202687,1,1
202326,C,202685,1,4
202685,C,202326,1,2
202685,C,202326,1,2
202326,C,202685,1,4
202326,C,2449,1,4
202326,C,201942,1,4
202326,C,200768,1,4
202326,C,202687,1,4
201579,C,203083,0,0
203382,C,101138,0,1
203382,C,101138,0,1
203083,C,101138,0,2
203083,C,101138,0,2
203083,C,201579,0,2
203083,C,203903,0,2
201579,C,203083,0,0
203083,C,203944,0,2
203083,C,101150,0,2
203382,C,101138,0,1
203382,C,101150,0,1
203083,C,101138,0,2
201579,C,202694,0,0
203083,C,201579,0,2
203083,C,201579,1,2
201579,C,202704,1,0
201579,C,203083,1,0
