Shooter ID,Shooter position,Defender ID,Defender position,Defend Success,Shooter Cluster,Defender Cluster
201144,PG,101127,PG,1,3,1
203081,PG,202339,PG,0,3,3
202339,PG,203081,PG,0,3,3
203081,PG,202339,PG,0,3,3
203081,PG,202339,PG,0,3,3
203081,PG,202339,PG,0,3,3
202339,PG,203081,PG,0,3,3
203081,PG,202339,PG,0,3,3
202339,PG,203081,PG,1,3,3
202339,PG,203081,PG,1,3,3
203081,PG,202339,PG,1,3,3
203081,PG,202339,PG,1,3,3
203081,PG,101179,PG,1,3,4
202339,PG,203081,PG,1,3,3
203081,PG,202339,PG,1,3,3
203081,PG,202339,PG,1,3,3
200765,PG,101108,PG,0,2,3
200765,PG,101108,PG,0,2,3
101108,PG,201954,PG,0,3,4
101108,PG,201954,PG,0,3,4
200765,PG,101108,PG,0,2,3
200765,PG,101108,PG,0,2,3
200765,PG,101108,PG,0,2,3
101108,PG,200765,PG,0,3,2
200765,PG,101108,PG,0,2,3
201954,PG,101108,PG,0,4,3
200765,PG,101108,PG,1,2,3
200765,PG,101108,PG,1,2,3
201954,PG,101108,PG,1,4,3
200765,PG,101108,PG,1,2,3
101108,PG,200765,PG,1,3,2
200765,PG,101108,PG,1,2,3
200765,PG,101108,PG,1,2,3
200765,PG,101108,PG,1,2,3
201954,PG,101108,PG,1,4,3
101108,PG,201954,PG,1,3,4
101108,PG,200765,PG,1,3,2
200765,PG,101108,PG,1,2,3
201952,PG,202689,PG,0,1,0
201952,PG,202689,PG,0,1,0
203471,PG,202391,PG,0,1,0
201952,PG,202391,PG,0,1,0
202689,PG,203471,PG,0,0,1
201952,PG,202689,PG,0,1,0
202689,PG,201952,PG,0,0,1
201952,PG,202689,PG,0,1,0
202391,PG,203471,PG,0,0,1
202391,PG,203471,PG,0,0,1
202689,PG,201952,PG,0,0,1
201952,PG,202689,PG,1,1,0
203471,PG,202391,PG,1,1,0
202391,PG,201952,PG,1,0,1
201952,PG,202391,PG,1,1,0
